Project_ID,Name Projekt,projekt_Beginn,Plan Bau fertig,Fertig_IST,Kosten Plan,Ist_Kosten,Project_team
KV-512108,Baumbestand // Schönlandallee,2015-11-06,2015-11-13,2015-11-15,63591.64,78700.09,Team 2
DL-107751,Baumbestand // Gerhardt-Wieloch-Gasse,2018-03-02,2018-03-19,2018-03-19,43910.19,52781.89,Team 1
NA-589855,Baumbestand // Marten-Döhn-Allee,2013-09-22,2013-10-02,2013-10-05,101715.25,107777.61,Team 1
YV-042459,Landschaftsbau // Cilli-Heinz-Allee,2017-09-10,2017-09-27,2017-09-29,91572.51,135280.53,Team 4
AP-929013,Elektroarbeiten // Blochstraße,2013-05-15,2013-06-29,2013-06-27,145190.69,153623.06,Team 1
OQ-479739,Elektroarbeiten // Dino-Klapp-Straße,2015-11-22,2016-01-24,2016-02-24,128815.7,174031.27,Team 2
EZ-528442,Stadtpark // Corina-Kraushaar-Ring,2018-08-03,2018-11-14,2018-11-13,93124.72,157472.75,Team 2
ZM-538777,Baumbestand // Jüttnerallee,2014-12-27,2015-01-10,2015-01-11,63214.42,65898.13,Team 4
UV-532343,Stadtpark // Gehringerplatz,2013-09-19,2013-11-18,2013-11-17,225141.71,262864.44,Team 4
SQ-344231,Landschaftsbau // Zobelplatz,2021-10-30,2021-11-23,2021-11-23,85050.36,111703.75,Team 4
EO-866219,Baumbestand // Tim-Karz-Weg,2018-10-13,2018-10-23,2018-10-25,7509.15,8806.0,Team 2
EY-711960,Spielplatz // Eigenwilliggasse,2015-08-15,2015-11-18,2015-11-20,136473.0,140574.64,Team 4
ER-577319,Elektroarbeiten // Alida-Keudel-Allee,2018-05-21,2018-07-23,2018-07-22,228849.35,232688.91,Team 4
WG-458129,Elektroarbeiten // Fabienne-Schüler-Platz,2016-10-30,2016-11-01,2016-10-31,112733.73,124654.77,Team 2
XP-256983,Elektroarbeiten // Ruppertgasse,2017-08-13,2017-09-13,2017-09-10,77189.97,90108.18,Team 1
ZU-402064,Stadtpark // Hans-Friedrich-Gröttner-Straße,2020-05-18,2020-08-02,2020-08-02,335058.37,590472.04,Team 2
BH-968351,Stadtpark // Elwira-Meister-Gasse,2014-03-26,2014-05-30,2014-05-30,135946.43,142976.9,Team 4
KN-987191,Landschaftsbau // Helga-Krause-Allee,2016-04-01,2016-04-04,2016-04-06,114862.28,125114.7,Team 1
CZ-236333,Elektroarbeiten // Guntram-Täsche-Straße,2014-07-08,2014-08-24,2014-08-20,59052.14,60517.98,Team 1
PG-656074,Baumbestand // Mechthilde-Lorch-Weg,2015-02-25,2015-03-24,2015-03-25,36348.13,41005.21,Team 4
FC-223149,Baumbestand // Vogtstr.,2018-05-24,2018-05-26,2018-05-29,69966.28,77162.36,Team 3
JT-495775,Ubahn // Kristine-Bohlander-Platz,2018-08-04,2019-01-30,2019-02-24,684889.83,946590.9,Team 2
LA-177217,Elektroarbeiten // Binnerallee,2017-11-28,2017-12-07,2017-12-10,56745.34,62588.19,Team 4
HC-382543,Baumbestand // Milos-Kostolzin-Ring,2015-04-19,2015-04-29,2015-05-01,54662.78,68306.66,Team 3
TM-056691,Straßenbau // Rüdiger-Striebitz-Platz,2021-02-12,2021-05-18,2021-05-20,252784.59,267646.63,Team 3
IA-718566,Straßenbau // Stollstraße,2014-10-14,2015-01-26,2015-04-06,323280.26,516831.9,Team 4
MN-496107,Ubahn // Adlerplatz,2020-12-29,2021-03-07,2021-03-07,634407.57,833436.78,Team 2
EC-242826,Baumbestand // Mitschkeweg,2016-11-28,2016-12-19,2017-01-16,50340.27,77769.55,Team 2
DN-893642,Landschaftsbau // Nick-Hahn-Gasse,2019-01-05,2019-02-14,2019-02-17,76691.34,108092.25,Team 3
IZ-947637,Ubahn // Renata-Conradi-Ring,2016-05-07,2016-10-23,2016-10-20,425547.69,501319.46,Team 2
EX-619380,Ubahn // Mahmoud-Benthin-Straße,2021-04-20,2021-06-02,2021-10-23,624299.33,655715.01,Team 1
UE-538285,Spielplatz // Mercedes-Scheel-Allee,2018-05-11,2018-06-24,2018-06-23,110996.37,137233.73,Team 3
VK-367044,Stadtpark // Gerhild-Rogge-Ring,2018-10-31,2018-12-15,2018-11-30,272464.44,322386.03,Team 3
YT-023553,Ubahn // Kreszentia-Lachmann-Platz,2021-11-10,2022-02-22,2022-01-29,302809.58,508454.86,Team 4
UP-177251,Stadtpark // Keudelplatz,2020-10-27,2020-12-15,2020-11-19,209345.59,249157.87,Team 3
EK-200299,Landschaftsbau // Mechthilde-Ditschlerin-Platz,2017-05-15,2017-06-02,2017-06-04,61485.83,69506.46,Team 2
YJ-566143,Baumbestand // Mechthilde-Heydrich-Ring,2019-08-24,2019-09-04,2019-09-01,8384.22,9459.41,Team 1
PN-775845,Baumbestand // Giesela-Flantz-Straße,2020-09-09,2020-10-08,2020-10-12,45355.74,75053.91,Team 2
LS-574598,Baumbestand // Schusterstraße,2016-01-28,2016-02-10,2016-02-14,20187.88,22400.47,Team 1
LI-241766,Ubahn // Wulffweg,2020-07-24,2020-12-04,2020-11-06,356785.57,488323.09,Team 4
MS-784665,Baumbestand // Heidrun-Trub-Weg,2015-07-11,2015-07-16,2015-07-18,30979.52,39199.5,Team 4
NV-723803,Baumbestand // Sibel-Baum-Gasse,2021-04-08,2021-04-20,2021-04-21,39217.32,43977.9,Team 4
UO-574339,Ubahn // Höfigallee,2020-02-18,2020-04-28,2020-06-04,180704.12,203262.5,Team 3
WZ-215532,Elektroarbeiten // Hans-Helmut-Schuchhardt-Gasse,2017-01-14,2017-02-02,2017-03-06,85296.35,113069.86,Team 3
VD-208138,Straßenbau // Benno-Kranz-Allee,2019-05-02,2019-09-02,2019-10-16,261319.97,315001.34,Team 4
RP-057111,Straßenbau // Eberthweg,2019-01-14,2019-04-27,2019-04-28,238692.21,263381.21,Team 1
JO-117828,Elektroarbeiten // Katy-Lindner-Platz,2020-11-12,2021-01-21,2021-01-16,44852.08,51625.13,Team 1
ZK-531639,Baumbestand // Seifertallee,2014-02-04,2014-02-11,2014-02-12,93004.36,106927.74,Team 3
FL-996500,Landschaftsbau // Jens-Peter-Hoffmann-Platz,2019-04-19,2019-05-13,2019-05-12,67683.75,88671.59,Team 3
HD-155561,Elektroarbeiten // Baumstraße,2013-03-23,2013-05-13,2013-05-05,49393.63,47583.26,Team 1
ZD-677437,Ubahn // Bert-Misicher-Weg,2017-03-22,2017-04-21,2017-10-19,419411.5,462635.45,Team 1
ND-907916,Landschaftsbau // Matthäiallee,2014-05-26,2014-06-30,2014-06-30,96651.97,118731.66,Team 1
DM-168171,Spielplatz // Urban-Schottin-Straße,2016-08-18,2016-10-06,2016-10-14,21217.31,30595.59,Team 2
IR-485755,Stadtpark // Annelise-Spieß-Straße,2015-05-13,2015-06-03,2015-06-02,44090.02,68354.17,Team 2
RL-822434,Ubahn // Geiselring,2013-03-11,2013-08-04,2013-10-24,569024.79,606066.84,Team 3
NE-924314,Stadtpark // Lidia-Jungfer-Allee,2018-11-02,2018-12-24,2019-02-14,99740.15,112350.62,Team 1
KE-285985,Landschaftsbau // Säuberlichplatz,2014-03-13,2014-03-22,2014-03-22,56647.6,82382.29,Team 4
ID-077150,Straßenbau // Hermannallee,2014-10-10,2015-01-14,2015-01-14,403366.15,437617.69,Team 3
SH-074108,Ubahn // Heinzstraße,2013-12-14,2014-06-05,2014-07-16,729944.82,820401.66,Team 3
LG-922613,Spielplatz // Boucseingasse,2015-08-13,2015-09-05,2015-09-09,164075.43,164409.07,Team 4
PI-319695,Straßenbau // Mosemannweg,2019-10-05,2020-03-12,2020-04-12,223238.83,254589.88,Team 4
QB-496351,Landschaftsbau // Geraldine-Gorlitz-Allee,2021-09-03,2021-09-15,2021-09-16,102812.49,110829.55,Team 1
IO-863872,Elektroarbeiten // Schmidtweg,2018-04-09,2018-06-23,2018-06-23,87081.44,122759.2,Team 2
UU-422869,Landschaftsbau // auch Schlauchinring,2013-07-15,2013-08-14,2013-08-14,48242.15,56292.28,Team 1
LS-082723,Landschaftsbau // Hilmar-Seifert-Allee,2019-01-16,2019-02-28,2019-03-04,103580.29,110443.56,Team 2
RH-610557,Straßenbau // Albersplatz,2017-09-17,2017-10-24,2017-10-29,326695.85,374488.12,Team 1
SG-363290,Stadtpark // Uschi-Roskoth-Gasse,2016-10-27,2016-11-08,2016-11-07,129502.38,143251.6,Team 4
TL-663839,Landschaftsbau // Schuchhardtgasse,2017-10-18,2017-11-05,2017-11-10,81849.84,114267.07,Team 3
RM-563008,Ubahn // Salvatore-Schuchhardt-Weg,2017-02-02,2017-05-23,2017-04-20,493980.13,705437.07,Team 4
YT-404380,Baumbestand // Senta-Davids-Allee,2020-08-04,2020-08-20,2020-08-25,37847.91,56923.35,Team 2
VN-295520,Spielplatz // Gießring,2017-08-11,2017-09-15,2017-09-15,34878.44,51844.75,Team 3
OK-406725,Elektroarbeiten // Birgit-Bruder-Ring,2020-01-19,2020-04-05,2020-04-04,116377.21,112044.77,Team 4
JL-364338,Elektroarbeiten // Zita-Faust-Platz,2017-01-04,2017-01-08,2017-02-19,112055.46,125469.99,Team 3
UC-642450,Baumbestand // Heinzplatz,2018-02-06,2018-02-08,2018-02-12,54933.05,59452.38,Team 3
SZ-062012,Baumbestand // Mohammed-Steckel-Ring,2019-06-17,2019-07-01,2019-07-07,25971.35,32458.18,Team 2
HT-128440,Spielplatz // Noackplatz,2014-10-22,2014-11-27,2014-11-28,130788.57,151081.21,Team 3
PH-442395,Elektroarbeiten // Naserweg,2018-12-08,2019-02-01,2019-01-27,125990.59,133235.84,Team 1
NW-502224,Baumbestand // Lindnerstraße,2018-08-26,2018-09-06,2018-09-08,72030.1,75636.81,Team 4
EL-322193,Elektroarbeiten // Reinhold-Ehlert-Platz,2021-09-21,2021-10-18,2021-10-21,113177.82,122241.15,Team 4
HE-033991,Landschaftsbau // Claus-Dieter-Ernst-Straße,2018-04-18,2018-04-24,2018-05-01,112109.84,163510.06,Team 3
HR-234112,Ubahn // Gumprichstr.,2016-05-21,2016-11-07,2016-11-08,399403.08,434685.52,Team 2
YM-774909,Baumbestand // Oswin-Christoph-Platz,2017-01-29,2017-02-11,2017-03-09,50235.2,80135.89,Team 2
RI-068763,Baumbestand // Gutknechtstr.,2018-10-20,2018-10-28,2018-10-29,34017.76,36000.7,Team 1
AW-465068,Baumbestand // Dörschnergasse,2014-05-17,2014-06-11,2014-06-13,48306.58,50311.46,Team 3
TN-561092,Spielplatz // Simona-Hering-Straße,2020-10-31,2021-01-20,2021-01-26,128054.63,137380.55,Team 4
BW-923846,Spielplatz // Tino-Stey-Straße,2021-03-27,2021-05-05,2021-05-05,129276.19,162690.23,Team 3
TH-593312,Elektroarbeiten // Börnerplatz,2018-05-07,2018-07-11,2018-07-17,,69375.23,Team 3
AL-663197,Elektroarbeiten // Mühlestraße,2019-05-26,2019-08-04,2019-07-30,138933.66,168023.68,Team 1
ZD-648572,Landschaftsbau // Cemil-Meister-Platz,2016-12-29,2017-01-10,2017-01-13,189117.06,200251.73,Team 1
XS-607062,Elektroarbeiten // Margita-Ebert-Ring,2015-02-26,2015-03-16,2015-03-08,88083.15,86517.86,Team 1
SW-469103,Ubahn // Miesweg,2018-06-18,2018-11-04,2018-11-04,593412.85,741810.97,Team 2
ZJ-906721,Straßenbau // Fröhlichweg,2015-09-06,2015-12-20,2016-02-24,57941.53,68794.83,Team 4
KG-244579,Landschaftsbau // Simona-Gunpf-Straße,2020-06-20,2020-07-18,2020-07-20,101584.41,119475.87,Team 2
TK-061901,Baumbestand // Klaas-Mentzel-Platz,2013-05-08,2013-05-11,2013-05-09,67284.78,73673.56,Team 4
UU-366993,Landschaftsbau // Timo-Bolnbach-Platz,2013-07-12,2013-08-22,2013-08-23,81718.95,129568.14,Team 4
CG-016755,Ubahn // Evi-Rose-Platz,2017-03-05,2017-07-27,2017-10-07,553941.27,601189.5,Team 1
KL-099434,Baumbestand // Adem-Jungfer-Ring,2013-11-02,2013-11-24,2013-11-26,60743.78,70031.07,Team 2
SV-529062,Straßenbau // Geza-Tröst-Gasse,2022-01-28,2022-06-09,2022-06-11,286875.36,321434.82,Team 3
GV-776651,Baumbestand // Bertha-Höfig-Straße,2017-01-23,2017-02-10,2017-02-14,57000.46,73917.1,Team 1
VQ-814792,Elektroarbeiten // Samuel-Drewes-Platz,2020-12-26,2021-01-05,2021-02-28,92941.63,128598.59,Team 3
DY-738303,Elektroarbeiten // Ingetraut-Trommler-Platz,2020-12-19,2021-02-06,2021-03-12,114231.06,211815.45,Team 2
NC-188246,Landschaftsbau // Anne-Katrin-Scholz-Straße,2018-08-31,2018-09-13,2018-09-20,18609.56,26338.32,Team 3
OC-638068,Baumbestand // Beerweg,2019-08-18,2019-09-02,2019-09-05,92511.25,102413.06,Team 3
RF-310025,Elektroarbeiten // Jäkelstr.,2021-10-11,2021-11-13,2021-11-12,121484.44,179196.28,Team 2
HB-440904,Baumbestand // Jungferallee,2019-04-28,2019-05-01,2019-05-03,68340.1,77765.23,Team 3
SS-537233,Elektroarbeiten // Rita-Henschel-Straße,2017-12-15,2018-03-20,2018-03-21,204918.37,207269.71,Team 4
IZ-681784,Elektroarbeiten // Diane-Hethur-Allee,2015-12-15,2016-04-25,2016-04-26,65068.99,107339.14,Team 2
EQ-985618,Baumbestand // Rörrichtstr.,2018-06-06,2018-06-27,2018-07-01,48782.03,55584.67,Team 1
MS-834440,Elektroarbeiten // Mustafa-Jungfer-Ring,2020-01-08,2020-02-04,2020-02-24,64882.99,87611.13,Team 3
FQ-356020,Elektroarbeiten // Dowergplatz,2016-12-23,2017-03-26,2017-03-27,104003.31,107938.58,Team 4
FQ-023430,Elektroarbeiten // Annemie-Zorbach-Gasse,2013-11-26,2014-01-13,2014-01-14,170315.63,177468.2,Team 4
PW-376046,Elektroarbeiten // Stilla-Etzler-Platz,2016-06-14,2016-08-13,2016-08-13,32271.72,36021.37,Team 4
GE-996987,Stadtpark // Schuchhardtstr.,2014-11-01,2014-12-17,2014-12-17,230024.38,251014.43,Team 4
ND-936365,Elektroarbeiten // Hilde-Mans-Ring,2018-09-27,2018-10-11,2018-10-14,55473.85,60852.27,Team 4
IX-422626,Elektroarbeiten // Nohlmansstraße,2021-10-16,2021-11-29,2021-11-30,79996.68,129324.78,Team 2
PT-017780,Elektroarbeiten // Gertraut-Nohlmans-Platz,2013-10-21,2013-11-08,2013-11-09,125742.26,138735.15,Team 4
KE-030764,Elektroarbeiten // Sergei-Wagner-Weg,2018-05-27,2018-07-10,2018-07-12,50604.36,51853.15,Team 4
NV-608616,Ubahn // Briemerring,2018-07-18,2019-04-03,2019-05-28,730493.51,750950.21,Team 3
ZK-585368,Elektroarbeiten // Gabor-Döring-Gasse,2017-02-07,2017-04-15,2017-04-10,133360.31,123210.79,Team 1
DN-488566,Ubahn // Elmar-Pohl-Weg,2013-03-10,2013-05-13,2013-05-12,393764.8,410926.51,Team 2
EF-387443,Elektroarbeiten // Marliese-Hoffmann-Platz,2014-03-10,2014-05-29,2014-08-02,19488.72,22896.69,Team 3
OH-238192,Ubahn // Ullmanngasse,2021-10-03,2022-01-16,2021-12-12,536088.36,822830.67,Team 4
UW-432060,Spielplatz // Dusan-Gumprich-Straße,2020-04-25,2020-06-15,2020-06-29,94932.22,85338.7,Team 2
BY-641946,Straßenbau // Kraushaarweg,2021-12-31,2022-01-01,2022-01-04,257186.4,321051.29,Team 1
LR-222973,Straßenbau // Geißlerallee,2013-11-24,2014-03-09,2014-03-09,100385.88,125158.43,Team 3
PP-904939,Straßenbau // Margret-Carsten-Allee,2017-04-20,2017-07-09,2017-07-12,219532.74,334686.06,Team 1
VF-639602,Elektroarbeiten // Hermannstr.,2018-08-09,2018-10-01,2018-10-11,7411.44,9176.33,Team 3
CD-198372,Baumbestand // Hannes-Grein Groth-Allee,2016-12-05,2016-12-09,2016-12-12,33657.88,37033.52,Team 3
XC-852620,Straßenbau // Steckelweg,2020-11-07,2020-11-28,2021-01-13,270231.03,412527.93,Team 4
BY-991185,Spielplatz // Mitschkestraße,2020-04-02,2020-05-04,2020-05-07,76504.27,69885.97,Team 4
CY-828616,Ubahn // Wohlgemutplatz,2017-02-19,2017-07-21,2017-06-19,146694.39,229620.28,Team 4
ER-760454,Baumbestand // Sontagstraße,2013-10-17,2013-10-28,2013-11-02,50756.51,49421.79,Team 3
ZU-631931,Ubahn // Mohammed-Lehmann-Straße,2018-11-14,2019-04-02,2019-08-27,-97953.64,-138873.05,Team 1
MM-281304,Landschaftsbau // Boucseinplatz,2013-12-09,2013-12-13,2013-12-17,117203.17,204850.38,Team 3
ZH-855884,Elektroarbeiten // Thorben-Walter-Ring,2019-04-13,2019-05-16,2019-05-17,140045.29,210989.37,Team 2
JG-636073,Elektroarbeiten // Andersweg,2020-08-06,2020-11-22,2020-11-18,57099.54,56982.87,Team 1
XC-149627,Baumbestand // Diedrich-Jockel-Allee,2015-11-25,2015-11-30,2015-11-29,62708.04,63636.75,Team 4
ZV-188005,Elektroarbeiten // Reinhilde-Henk-Platz,2020-05-22,2020-07-27,2020-08-13,133574.81,162322.87,Team 3
VC-564589,Stadtpark // Tlustekring,2018-02-06,2018-02-18,2018-04-06,222809.0,242195.26,Team 1
RN-790391,Spielplatz // Victoria-Krebs-Allee,2017-01-09,2017-01-15,2017-03-14,139251.09,171476.61,Team 2
HM-526725,Elektroarbeiten // Rennerweg,2016-11-14,2017-01-11,2017-02-13,123046.42,148972.98,Team 2
FK-686967,Stadtpark // Adelgunde-Fechner-Platz,2018-12-06,2018-12-28,2019-02-14,291056.72,323062.8,Team 1
GU-023859,Elektroarbeiten // Scheuermannstr.,2016-08-12,2016-09-20,2016-11-09,162612.6,151162.03,Team 3
DL-100549,Baumbestand // Sauerweg,2017-10-17,2017-10-29,2017-11-01,57877.81,68758.02,Team 3
HV-099267,Straßenbau // Oswin-Martin-Ring,2017-07-26,2017-08-17,2017-08-18,94189.41,94679.73,Team 3
VH-227810,Stadtpark // Elfriede-Grein Groth-Weg,2018-07-18,2018-09-10,2018-09-11,269085.16,345448.57,Team 4
OU-440753,Ubahn // Sibille-Rogge-Ring,2014-07-08,2014-12-10,2015-01-07,302289.43,366478.95,Team 2
ZZ-029180,Ubahn // Krystyna-Etzold-Platz,2013-02-15,2013-06-02,2013-08-11,424615.98,564632.61,Team 1
NX-325221,Baumbestand // Zenta-Mühle-Straße,2014-05-18,2014-05-31,2014-06-05,55527.07,82177.61,Team 2
WH-090808,Baumbestand // Seifertgasse,2020-08-20,2020-09-01,2020-09-01,91798.04,107295.95,Team 2
DD-022110,Landschaftsbau // Konstanze-Stadelmann-Gasse,2013-09-04,2013-09-16,2013-09-18,51292.38,60300.24,Team 1
AO-509339,Baumbestand // Mälzerstr.,2020-10-01,2020-10-25,2020-10-26,37401.01,53645.76,Team 2
BH-390175,Elektroarbeiten // Lotti-Zorbach-Ring,2021-06-03,2021-07-05,2021-07-07,84116.03,112160.75,Team 2
ZT-304201,Baumbestand // Oda-Bonbach-Platz,2017-12-10,2018-01-08,2018-01-08,60485.77,66618.93,Team 3
AU-050575,Ubahn // Stumpfweg,2019-04-21,2019-09-09,2019-10-22,186387.68,251884.3,Team 1
UD-897257,Ubahn // Kostolzinweg,2017-10-25,2018-03-11,2018-06-22,223722.07,273189.54,Team 1
PK-327728,Landschaftsbau // Sönke-Winkler-Allee,2016-06-05,2016-06-29,2016-07-04,33228.41,42852.74,Team 3
GP-088267,Elektroarbeiten // Thea-Grein Groth-Weg,2021-05-19,2021-06-22,2021-06-21,179246.71,242783.62,Team 2
AS-232030,Ubahn // Gregor-Renner-Weg,2015-06-21,2016-03-19,2016-07-05,889325.13,973094.36,Team 1
VO-812204,Stadtpark // Nergerring,2014-02-11,2014-03-19,2014-03-17,126650.38,138145.19,Team 4
BO-465312,Baumbestand // Annegret-Hauffer-Weg,2013-11-21,2013-12-04,2013-12-06,56230.82,63728.78,Team 3
TE-619999,Baumbestand // Reingard-Oderwald-Gasse,2015-10-28,2015-11-07,2015-11-10,17659.87,28508.15,Team 2
KC-570138,Stadtpark // Sophie-Mülichen-Weg,2020-01-13,2020-02-08,2020-03-08,74484.45,127257.98,Team 2
VR-626783,Landschaftsbau // Arno-Hofmann-Allee,2016-05-21,2016-06-09,2016-06-09,9292.22,13451.82,Team 4
UG-769388,Ubahn // Gerlachallee,2018-08-13,2018-12-19,2019-02-23,336416.87,377424.1,Team 3
DT-451507,Landschaftsbau // Werner-Pechel-Gasse,2020-01-02,2020-02-05,2020-02-04,114408.52,122205.65,Team 1
SF-765714,Elektroarbeiten // Wagnerweg,2021-07-22,2021-11-02,2021-11-02,43503.17,43944.98,Team 2
TK-692411,Stadtpark // Scheibestraße,2019-06-23,2019-08-12,2019-10-25,162256.77,171379.95,Team 1
AI-221416,Straßenbau // Scheelplatz,2021-03-12,2021-05-29,2021-07-20,213312.23,348883.66,Team 4
BG-785044,Baumbestand // Seifertplatz,2015-03-08,2015-03-24,2015-03-24,44791.35,43714.25,Team 4
UO-403669,Straßenbau // Cichoriusallee,2013-06-15,2013-09-03,2013-09-03,-6600.91,-11154.49,Team 2
UZ-107323,Landschaftsbau // Hillerallee,2017-06-20,2017-07-02,2017-07-05,103573.5,154208.29,Team 2
DM-207381,Landschaftsbau // Tibor-Tlustek-Gasse,2017-09-15,2017-10-05,2017-10-08,52242.45,75468.59,Team 4
YD-502951,Elektroarbeiten // Schleichgasse,2013-10-09,2013-10-30,2013-10-28,64251.52,76359.28,Team 1
AS-986937,Ubahn // Rädelallee,2019-05-21,2019-12-27,2020-02-05,594387.47,856952.11,Team 2
EY-106265,Baumbestand // Diethard-Hermighausen-Ring,2014-11-10,2014-11-25,2014-11-30,41398.84,49961.33,Team 3
VA-344782,Ubahn // Hesseplatz,2015-02-11,2015-07-30,2015-08-21,902454.49,1055939.1,Team 3
PG-610694,Baumbestand // Maximilian-Weitzel-Gasse,2014-11-27,2014-12-07,2014-12-13,73145.09,73687.28,Team 3
IJ-506498,Ubahn // Steinbergallee,2014-08-30,2015-03-26,2015-07-22,694837.38,889344.49,Team 1
VM-611828,Ubahn // Mohauptstr.,2018-03-31,2018-08-06,2018-09-09,638688.63,695005.6,Team 3
BP-466506,Baumbestand // Striebitzstraße,2014-01-12,2014-01-22,2014-01-26,15794.69,16426.11,Team 3
LZ-198260,Spielplatz // Heuserallee,2020-07-12,2020-08-24,2020-08-25,168119.5,228676.42,Team 3
UD-095992,Baumbestand // Spießring,2016-03-05,2016-03-20,2016-03-24,55785.22,60973.9,Team 3
MF-846025,Stadtpark // Hamannallee,2016-04-18,2016-05-21,2016-05-20,237737.97,265362.79,Team 4
LY-631934,Spielplatz // Jozef-Eimer-Weg,2013-08-30,2013-10-11,2013-10-10,53051.22,52847.6,Team 1
LI-019078,Landschaftsbau // Haeringstr.,2020-07-19,2020-08-08,2020-08-08,79676.1,104192.37,Team 4
TA-448220,Ubahn // Miesgasse,2018-10-27,2019-03-14,2019-06-01,-10881.99,-12512.99,Team 1
WL-701004,Baumbestand // Kabusring,2020-08-26,2020-09-12,2020-09-11,83932.16,124844.94,Team 2
WP-005236,Landschaftsbau // Wielochstr.,2018-06-21,2018-07-11,2018-07-12,92100.66,119058.81,Team 1
WN-089383,Baumbestand // Emmi-Schweitzer-Gasse,2017-01-27,2017-01-29,2017-03-02,76870.82,119201.08,Team 2
FR-500516,Spielplatz // Gutknechtstraße,2021-03-28,2021-06-18,2021-06-24,93340.31,113122.2,Team 4
DN-198852,Elektroarbeiten // Steckelring,2019-06-06,2019-08-10,2019-08-11,138532.33,161019.65,Team 2
OB-721433,Straßenbau // Stiebitzgasse,2015-06-08,2015-10-19,2015-10-20,92133.4,95288.62,Team 3
MW-035211,Straßenbau // Schlossergasse,2014-08-27,2014-12-10,2014-12-11,271111.56,271616.91,Team 3
IY-508432,Stadtpark // Ruppersbergerallee,2017-10-13,2017-12-24,2017-12-24,153865.69,173971.42,Team 4
XP-464068,Straßenbau // Buchholzweg,2014-03-20,2014-07-13,2014-07-16,235959.39,331698.07,Team 2
FY-638769,Straßenbau // Verena-Klemm-Gasse,2021-04-09,2021-06-08,2021-06-09,208012.73,232386.46,Team 1
FO-140233,Baumbestand // Gotthardring,2021-11-16,2021-11-17,2021-11-17,31126.11,35286.08,Team 4
RH-061783,Baumbestand // Heinzweg,2015-12-01,2015-12-26,2015-12-28,10910.03,12606.88,Team 4
MH-556954,Elektroarbeiten // Trommlerweg,2016-03-28,2016-05-14,2016-07-03,119526.24,156251.95,Team 3
WD-976654,Stadtpark // Serpil-Hentschel-Ring,2019-05-15,2019-06-05,2019-05-16,173983.81,211959.65,Team 3
FM-859635,Elektroarbeiten // Hermann Josef-Hahn-Straße,2013-07-29,2013-09-30,2013-09-30,112629.37,118469.94,Team 4
FJ-235796,Straßenbau // Wladimir-Henk-Weg,2021-06-27,2021-09-21,2021-09-25,236408.11,251041.54,Team 2
VP-176291,Elektroarbeiten // Langeweg,2016-01-11,2016-02-27,2016-04-10,190694.31,249550.22,Team 2
UE-642689,Straßenbau // Winklerstr.,2018-08-24,2018-10-26,2018-10-28,235995.66,267561.81,Team 3
RQ-987194,Baumbestand // Gretchen-Wernecke-Allee,2022-01-08,2022-01-18,2022-01-18,47015.36,51769.19,Team 3
GC-515072,Spielplatz // Friedlinde-Dörschner-Gasse,2019-08-09,2019-09-03,2019-09-28,108190.02,118834.06,Team 2
VN-780627,Baumbestand // Marius-Drewes-Ring,2018-08-14,2018-08-27,2018-08-27,90333.09,999286424.839316,Team 4
