Projekt_ID,Projektname,Projekt_Beginn,Plan_Bau_fertig,Ist_Bau_fertig,Plan_Kosten,Ist_Kosten,Project_team
P-76478,Landschaftsbau // Lidia-Atzler-Allee,2020-03-12,2020-04-03,2020-04-06,95295.53,117156.16,Team 2
P-37140,Straßenbau // Hartmannweg,2019-02-20,2019-05-28,2019-06-01,94220.72,109959.6,Team 2
P-58766,Landschaftsbau // Kunigunda-Pieper-Allee,2016-12-01,2016-12-27,2016-12-27,143975.72,155463.37,Team 1
P-15875,Ubahn // Zimmerstraße,2021-12-25,2022-05-11,2022-04-12,528507.31,558456.08,Team 4
P-16814,Baumbestand // Ariane-Klemm-Platz,2013-05-28,2013-06-05,2013-06-06,34017.76,36000.7,Team 1
P-49937,Baumbestand // Nada-Wernecke-Gasse,2019-09-18,2019-09-19,2019-09-19,53926.89,55919.5,Team 1
P-91731,Baumbestand // Hans Peter-Reising-Platz,2015-04-13,2015-04-21,2015-04-23,37722.55,55093.81,Team 2
P-56525,Landschaftsbau // Margrafstraße,2013-07-31,2013-08-17,2013-08-25,42128.88,62573.64,Team 3
P-84303,Stadtpark // Kochplatz,2015-12-10,2016-01-07,2016-02-07,197323.55,368834.33,Team 2
P-12284,Baumbestand // Bonbachstraße,2019-09-15,2019-10-02,2019-10-01,62355.76,65920.43,Team 4
P-68936,Ubahn // Henkstr.,2020-02-28,2020-07-23,2020-07-23,1035153.46,1359922.67,Team 2
P-47620,Spielplatz // Metzweg,2019-02-24,2019-05-05,2019-06-11,196816.46,236494.73,Team 2
P-17662,Elektroarbeiten // Grit-Eigenwillig-Allee,2017-05-08,2017-07-13,2017-07-06,75334.66,84198.09,Team 1
P-15466,Baumbestand // Dragica-Aumann-Straße,2018-11-08,2018-11-23,2018-11-24,51305.01,69085.8,Team 2
P-99065,Elektroarbeiten // Hillergasse,2018-04-23,2018-07-27,2018-07-28,79304.4,106875.74,Team 2
P-07051,Baumbestand // Emmi-Ehlert-Platz,2017-12-16,2017-12-26,2017-12-26,19721.17,24444.89,Team 4
P-72283,Straßenbau // Heintzering,2019-09-18,2019-12-23,2019-12-29,213766.73,241585.45,Team 1
P-01062,Straßenbau // Ditschlerinweg,2019-10-14,2019-11-02,2020-01-13,67730.28,96282.06,Team 4
P-89501,Baumbestand // Röhrichtring,2015-02-28,2015-03-19,2015-03-22,72859.44,75828.62,Team 3
P-19005,Spielplatz // Pierre-Börner-Straße,2016-07-09,2016-07-27,2016-07-26,63875.28,70762.23,Team 1
P-82603,Stadtpark // Christoph-Wagner-Straße,2013-08-14,2013-09-28,2013-09-29,124860.17,139757.19,Team 4
P-56468,Landschaftsbau // Lotte-Losekann-Platz,2020-08-01,2020-08-24,2020-08-30,72299.48,109796.8,Team 3
P-01248,Straßenbau // Sieringring,2015-01-16,2015-03-06,2015-03-08,225209.94,277995.07,Team 3
P-87257,Elektroarbeiten // Rörrichtallee,2013-11-01,2013-12-15,2014-01-05,191783.12,220938.82,Team 2
P-76384,Elektroarbeiten // Gutknechtstr.,2018-10-13,2018-11-25,2018-11-26,159176.56,154083.4,Team 4
P-59494,Baumbestand // Hanny-Kensy-Gasse,2015-04-22,2015-05-19,2015-05-22,25833.43,28312.66,Team 1
P-17132,Straßenbau // Marzena-Berger-Ring,2015-12-22,2016-04-08,2016-04-09,279341.24,348082.15,Team 3
P-90758,Baumbestand // Conradiring,2019-05-14,2019-05-29,2019-05-30,44745.03,45993.92,Team 1
P-52058,Stadtpark // Armin-Stolze-Ring,2020-09-23,2020-12-19,2020-12-01,169826.79,229093.67,Team 3
P-51763,Stadtpark // Rosita-Geisel-Gasse,2018-12-10,2019-01-26,2019-01-25,244067.25,267248.68,Team 4
P-53092,Stadtpark // Trubingasse,2017-12-10,2017-12-24,2017-12-23,259105.77,295894.04,Team 4
P-99232,Straßenbau // Helfried-Bolzmann-Platz,2013-08-19,2013-11-21,2013-11-22,374491.79,409571.2,Team 3
P-24857,Ubahn // Höfigplatz,2016-01-18,2016-05-29,2016-05-30,490759.02,512295.19,Team 2
P-10515,Elektroarbeiten // Mansplatz,2017-02-14,2017-05-05,2017-05-01,91744.28,102726.84,Team 1
P-62214,Straßenbau // Weißallee,2015-10-25,2016-03-05,2016-03-07,201366.96,247012.47,Team 1
P-14780,Spielplatz // Dowergstraße,2020-07-15,2020-08-06,2020-08-11,128094.93,124998.54,Team 4
P-95959,Baumbestand // Bolzmannstr.,2017-03-30,2017-04-09,2017-04-13,53573.83,80778.11,Team 2
P-16710,Baumbestand // Martin-Jessel-Allee,2017-03-27,2017-04-03,2017-04-05,70646.42,64838.15,Team 4
P-36528,Stadtpark // Schmiedtplatz,2021-02-11,2021-03-04,2021-03-04,44465.72,51554.6,Team 4
P-22926,Ubahn // Holtweg,2013-09-20,2014-01-31,2014-01-03,356785.57,488323.09,Team 4
P-38566,Straßenbau // Säuberlichweg,2015-09-29,2016-03-25,2016-04-16,214178.67,256583.27,Team 4
P-94524,Baumbestand // Schönlandweg,2018-09-28,2018-10-02,2018-10-04,29593.92,31429.71,Team 4
P-31779,Stadtpark // Tintzmannring,2020-09-04,2020-10-06,2020-10-02,194441.04,286535.12,Team 3
P-91020,Ubahn // Heusergasse,2014-04-24,2014-09-19,2014-11-07,689288.27,795407.52,Team 3
P-90528,Landschaftsbau // Heßallee,2015-06-22,2015-07-16,2015-07-17,80902.15,107818.78,Team 4
P-66570,Stadtpark // Carin-Köster-Weg,2016-12-21,2017-01-31,2017-01-30,160030.25,185869.18,Team 4
P-46287,Straßenbau // Hildegart-Wohlgemut-Ring,2017-04-10,2017-09-11,2017-09-14,4632.02,4907.34,Team 2
P-88598,Elektroarbeiten // Klaus-Werner-Hövel-Gasse,2014-10-03,2014-12-22,2015-01-15,28798.83,31152.98,Team 3
P-85257,Ubahn // Gierschnerstraße,2018-12-03,2019-03-26,2019-03-26,562076.8,807879.69,Team 2
P-43129,Elektroarbeiten // Hans-Jochen-Stoll-Allee,2018-05-19,2018-05-31,2018-06-27,144429.24,198557.84,Team 3
P-60241,Landschaftsbau // Sophia-Hesse-Straße,2020-11-26,2020-12-20,2020-12-18,57741.19,62562.76,Team 1
P-02021,Straßenbau // Carmela-Jockel-Straße,2016-11-15,2016-12-13,2017-01-07,306549.35,428011.91,Team 4
P-94886,Stadtpark // Harloffstraße,2018-05-12,2018-06-12,2018-06-11,216974.64,216727.91,Team 4
P-04084,Landschaftsbau // Heinz-Joachim-Stiebitz-Weg,2013-03-23,2013-04-19,2013-04-22,100014.53,99893.38,Team 2
P-64682,Stadtpark // Helga-Eimer-Gasse,2017-11-28,2018-03-08,2018-03-08,111435.38,198580.88,Team 2
P-77768,Stadtpark // Genoveva-Girschner-Platz,2016-10-06,2016-12-07,2017-01-31,115295.92,131590.56,Team 1
P-47881,Baumbestand // Vogtallee,2019-01-02,2019-01-05,2019-01-07,35713.72,41787.28,Team 3
P-50285,Stadtpark // Metzweg,2021-11-02,2022-01-07,2022-02-07,154964.14,235743.27,Team 2
P-24000,Landschaftsbau // Jörg-Peter-Heser-Allee,2013-06-06,2013-06-29,2013-07-01,143976.99,136372.8,Team 4
P-85256,Landschaftsbau // Liliana-Radisch-Platz,2015-03-20,2015-04-27,2015-04-30,83039.14,97588.21,Team 2
P-09489,Baumbestand // Drubstr.,2020-01-25,2020-02-04,2020-02-08,55386.58,58345.12,Team 3
P-92221,Stadtpark // Rädelstraße,2019-09-28,2019-12-30,2020-01-24,111679.66,148302.75,Team 2
P-98405,Ubahn // Rosalia-Lachmann-Straße,2016-02-10,2016-07-15,2016-10-29,309077.39,300172.07,Team 3
P-49289,Landschaftsbau // Evelin-Beier-Straße,2014-01-05,2014-01-15,2014-01-19,46340.29,51331.3,Team 4
P-84589,Baumbestand // Adolphring,2014-06-30,2014-07-15,2014-07-18,43000.14,53131.23,Team 1
P-31638,Ubahn // Karl-Georg-Lindner-Weg,2018-12-21,2019-07-20,2019-12-20,639573.09,930227.63,Team 1
P-24944,Baumbestand // Bohnbachallee,2018-01-21,2018-02-05,2018-03-04,33236.92,49507.86,Team 2
P-13388,Stadtpark // Tintzmannweg,2016-10-10,2016-10-25,2016-10-25,142849.54,159103.1,Team 4
P-58076,Elektroarbeiten // Wiekgasse,2018-09-10,2018-10-06,2018-11-05,102314.28,114202.51,Team 3
P-28547,Elektroarbeiten // Handering,2017-02-20,2017-04-06,2017-04-06,162524.35,178306.42,Team 2
P-39241,Spielplatz // Krausering,2020-12-06,2021-02-03,2021-03-18,105687.24,117385.22,Team 2
P-47402,Landschaftsbau // Hülya-Trüb-Gasse,2021-12-23,2022-01-20,2022-03-02,110506.07,131755.8,Team 2
P-26563,Landschaftsbau // Bohnbachstr.,2017-02-23,2017-03-10,2017-03-08,35321.83,33760.73,Team 1
P-46343,Elektroarbeiten // Berndt-Adler-Straße,2014-11-07,2015-01-17,2015-02-20,50320.32,62352.19,Team 2
P-08944,Straßenbau // Thoralf-Mans-Gasse,2013-08-28,2013-11-15,2013-11-15,210320.13,274944.74,Team 1
P-27644,Landschaftsbau // Gereon-Heinz-Platz,2015-12-04,2015-12-24,2015-12-25,83934.44,87337.23,Team 4
P-89056,Baumbestand // Drago-Butte-Straße,2020-12-11,2020-12-19,2020-12-21,78351.3,98442.55,Team 4
P-60975,Straßenbau // Jüttnerstr.,2020-04-06,2020-06-17,2020-06-20,165584.5,180590.97,Team 3
P-28690,Elektroarbeiten // Hölzenbecherplatz,2015-12-02,2016-01-19,2016-02-18,139097.93,158947.25,Team 2
P-31372,Baumbestand // Sonia-Juncken-Straße,2016-07-17,2016-07-23,2016-07-28,45991.49,72211.95,Team 2
P-58175,Ubahn // Greta-Bruder-Straße,2013-05-19,2013-10-15,2014-03-17,567083.95,721412.2,Team 1
P-43634,Ubahn // Nergerweg,2021-04-14,2021-07-28,2021-10-01,482526.18,472706.05,Team 3
P-23694,Elektroarbeiten // Gierschnerring,2015-05-08,2015-05-29,2015-05-31,119437.46,130431.02,Team 4
P-24961,Ubahn // Wolf-Dieter-Hecker-Straße,2020-06-27,2020-10-01,2020-09-02,751043.62,1071293.1,Team 4
P-85941,Baumbestand // Wilmsenallee,2015-04-17,2015-04-27,2015-04-28,72240.23,76638.16,Team 1
P-83342,Landschaftsbau // Bolnbachstraße,2015-02-20,2015-03-21,2015-03-20,79569.72,92467.89,Team 1
P-30012,Baumbestand // Boris-Henck-Weg,2018-04-07,2018-04-21,2018-04-25,19023.77,20294.38,Team 2
P-42231,Ubahn // Evangelia-Schlosser-Gasse,2018-05-11,2018-12-08,2019-04-25,466009.5,546047.12,Team 1
P-17590,Landschaftsbau // Toni-Löffler-Allee,2018-12-06,2018-12-26,2018-12-31,98133.21,128808.38,Team 3
P-67196,Spielplatz // Finkestraße,2013-03-16,2013-04-28,2013-04-26,119777.99,119765.72,Team 1
P-34450,Ubahn // Enver-Hofmann-Straße,2019-02-27,2019-07-21,2019-08-29,-140854.63,-165519.21,Team 1
P-42730,Baumbestand // Grein Grothallee,2014-12-15,2015-01-02,2015-01-02,42617.99,46232.34,Team 4
P-28305,Spielplatz // Geißlerring,2017-02-16,2017-04-11,2017-04-13,141426.67,198030.21,Team 3
P-83587,Baumbestand // Siegrun-Hübel-Straße,2020-08-22,2020-09-13,2020-09-15,66855.1,67482.65,Team 4
P-05741,Elektroarbeiten // Heinz Dieter-Adler-Ring,2018-07-12,2018-08-21,2018-08-19,-5805.33,-8538.48,Team 2
P-01420,Baumbestand // Wirthstr.,2013-05-29,2013-06-10,2013-06-12,120845.85,172732.55,Team 2
P-03910,Baumbestand // Leonard-Röhrdanz-Platz,2016-02-18,2016-02-27,2016-02-28,93026.72,103939.14,Team 4
P-51580,Baumbestand // Holstenplatz,2014-10-09,2014-10-19,2014-10-22,69813.68,71182.12,Team 1
P-56607,Ubahn // Zorbachgasse,2013-12-31,2014-06-15,2014-09-10,477525.63,467962.42,Team 1
P-08047,Elektroarbeiten // Klaus-Ulrich-Kusch-Platz,2014-06-17,2014-08-04,2014-08-03,38705.95,62490.48,Team 2
P-78253,Baumbestand // Gabriel-Hahn-Straße,2013-11-18,2013-12-05,2014-01-16,84218.72,91032.23,Team 2
P-78949,Landschaftsbau // Kochweg,2016-07-12,2016-08-26,2016-08-24,101348.42,122577.33,Team 1
P-95882,Spielplatz // Editha-Haering-Allee,2017-01-28,2017-03-04,2017-03-30,158026.32,214303.6,Team 2
P-08878,Stadtpark // Nikola-Finke-Straße,2018-01-13,2018-01-22,2018-01-25,207098.01,257665.7,Team 3
P-54806,Ubahn // Weimerstr.,2018-10-26,2018-12-14,2018-11-25,-76244.27,-104488.47,Team 4
P-70619,Ubahn // Gertzstraße,2018-01-29,2018-07-22,2018-07-20,328501.22,514772.01,Team 2
P-62722,Stadtpark // Kirsten-Lachmann-Allee,2021-08-21,2021-11-07,2021-11-06,138408.25,159035.24,Team 4
P-94701,Baumbestand // Röhrichtstraße,2019-12-27,2020-01-01,2020-01-01,48931.78,54563.77,Team 4
P-41996,Stadtpark // Gerti-Holsten-Allee,2018-07-17,2018-08-28,2018-08-26,54171.85,71601.45,Team 2
P-36020,Ubahn // Drubinallee,2014-08-06,2014-12-24,2015-02-06,270410.5,323608.7,Team 3
P-22309,Stadtpark // Klemtstraße,2016-09-30,2016-11-08,2016-11-07,153044.59,167756.06,Team 4
P-30078,Elektroarbeiten // Hanno-Striebitz-Weg,2017-09-25,2017-10-09,2017-12-04,54397.3,75955.2,Team 3
P-25576,Landschaftsbau // Veit-Kramer-Straße,2015-08-20,2015-09-20,2015-09-19,82693.07,107090.48,Team 4
P-52118,Landschaftsbau // Reuterplatz,2017-11-13,2017-12-17,2017-12-16,114408.52,122205.65,Team 1
P-89957,Ubahn // Gülten-Hethur-Ring,2018-05-26,2018-08-02,2018-08-02,634407.57,833436.78,Team 2
P-50765,Landschaftsbau // Ziegertstraße,2017-07-27,2017-08-16,2017-08-20,171948.09,207747.08,Team 2
P-37344,Elektroarbeiten // Inge-Karz-Weg,2018-03-02,2018-06-11,2018-06-11,66892.36,61492.99,Team 4
P-48643,Baumbestand // Ulrich-Heintze-Platz,2015-09-27,2015-10-07,2015-10-10,13200.93,12351.61,Team 3
P-73479,Straßenbau // Serpil-Stahr-Platz,2016-03-13,2016-04-29,2016-06-21,109262.47,138821.4,Team 4
P-47139,Stadtpark // Stiffelring,2021-08-06,2021-09-15,2021-09-14,201819.42,226445.43,Team 4
P-76422,Landschaftsbau // Evangelia-Baum-Platz,2015-07-09,2015-07-29,2015-08-01,85887.12,101927.08,Team 2
P-36817,Baumbestand // Kochplatz,2021-11-02,2021-11-07,2021-11-10,27659.86,32749.12,Team 2
P-29099,Elektroarbeiten // Silva-Pölitz-Straße,2021-02-23,2021-04-18,2021-05-15,62068.56,82797.9,Team 3
P-63003,Straßenbau // Lore-Birnbaum-Gasse,2017-06-28,2017-10-03,2017-10-04,68349.86,78148.49,Team 3
P-06095,Elektroarbeiten // Simona-Dowerg-Ring,2018-03-26,2018-04-27,2018-04-26,73926.85,72791.49,Team 4
P-01844,Landschaftsbau // Caspargasse,2020-07-25,2020-08-11,2020-08-12,108539.55,134093.45,Team 4
P-23612,Stadtpark // Sieringplatz,2019-07-08,2019-09-02,2019-11-06,189177.24,195910.0,Team 1
P-51735,Straßenbau // Dora-Müller-Platz,2013-02-09,2013-05-01,2013-05-06,402103.66,466929.13,Team 2
P-10885,Baumbestand // Aleksandra-Schwital-Weg,2013-03-25,2013-04-12,2013-04-12,53197.55,64699.76,Team 4
P-81845,Landschaftsbau // Martinweg,2015-08-18,2015-09-15,2015-09-17,3405.15,3128.1,Team 2
P-61123,Spielplatz // Stefania-Beer-Gasse,2018-04-05,2018-05-29,2018-06-24,81539.24,103663.02,Team 2
P-97527,Ubahn // Rupert-Schmiedt-Weg,2014-02-10,2014-07-23,2014-07-24,557273.25,772463.18,Team 2
P-59402,Spielplatz // Hellmut-Nohlmans-Platz,2014-12-29,2015-01-17,2015-02-22,51997.67,56533.76,Team 2
P-48016,Landschaftsbau // Arnfried-Schüler-Allee,2015-01-01,2015-01-10,2015-01-12,105178.04,159140.47,Team 3
P-27896,Straßenbau // Dietmar-Schuchhardt-Ring,2019-11-27,2020-01-22,2020-01-24,233924.24,273361.04,Team 3
P-36515,Landschaftsbau // Matthias-Jäkel-Gasse,2018-07-28,2018-08-23,2018-08-24,32681.55,41984.94,Team 3
P-30883,Elektroarbeiten // Müllerweg,2014-12-23,2015-02-17,2015-02-14,126859.88,150324.78,Team 1
P-38697,Landschaftsbau // Ruppersbergerplatz,2016-12-20,2017-01-03,2017-01-08,173452.05,254691.35,Team 4
P-88155,Landschaftsbau // Sieringstraße,2013-07-14,2013-08-11,2013-08-14,65630.3,74004.45,Team 2
P-61042,Spielplatz // Fiebigallee,2013-05-04,2013-06-24,2013-06-24,89139.64,93454.37,Team 3
P-72485,Landschaftsbau // Franca-Weiß-Platz,2016-05-31,2016-06-16,2016-06-16,55596.46,83914.74,Team 4
P-48604,Landschaftsbau // Marko-Margraf-Weg,2015-08-23,2015-09-17,2015-09-21,88313.96,138237.84,Team 2
P-78685,Ubahn // Roman-Linke-Allee,2015-01-02,2015-05-10,2015-05-07,603179.79,582474.14,Team 2
P-96568,Stadtpark // Hänelgasse,2013-11-14,2013-12-20,2013-11-27,166880.83,172062.51,Team 3
P-51785,Stadtpark // Grafstraße,2019-12-23,2020-02-08,2020-02-07,57866.52,60696.02,Team 4
P-27211,Spielplatz // Striebitzallee,2019-04-18,2019-05-07,2019-05-06,113768.45,127028.97,Team 3
P-28016,Stadtpark // Schaafgasse,2020-01-31,2020-02-23,2020-02-22,160959.92,205965.82,Team 4
P-15413,Stadtpark // Lissi-Schleich-Allee,2013-06-04,2013-07-19,2013-07-18,156798.72,242955.29,Team 2
P-23386,Elektroarbeiten // Elli-Hövel-Ring,2015-06-11,2015-06-24,2015-06-25,105892.21,104784.54,Team 4
P-38136,Baumbestand // Gießweg,2019-09-01,2019-09-10,2019-09-13,23475.3,36406.51,Team 2
P-78295,Stadtpark // Branka-Kitzmann-Straße,2018-02-11,2018-05-05,2018-06-14,40604.77,41735.41,Team 1
P-93369,Elektroarbeiten // Patbergallee,2016-12-27,2017-02-18,2017-03-18,110219.73,163134.55,Team 2
P-75005,Baumbestand // Marian-Schacht-Ring,2020-05-28,2020-06-06,2020-06-06,29475.3,30910.42,Team 4
P-07593,Ubahn // Weihmannplatz,2017-08-27,2018-03-31,2018-03-09,589067.31,778669.46,Team 4
P-86375,Landschaftsbau // Ruppersbergergasse,2017-07-22,2017-08-11,2017-08-11,66915.43,112163.35,Team 4
P-69927,Elektroarbeiten // Kruschwitzallee,2013-04-15,2013-05-24,2013-05-23,63716.01,111567.39,Team 2
P-33108,Ubahn // Rosegasse,2020-07-06,2020-09-01,2020-12-16,449523.04,599690.53,Team 1
P-65249,Stadtpark // Osman-Adolph-Allee,2016-10-18,2016-11-09,2017-01-19,35474.71,40034.39,Team 1
P-96913,Landschaftsbau // Melanie-Hornich-Allee,2015-08-07,2015-09-01,2015-09-02,55953.61,56336.89,Team 1
P-90780,Baumbestand // Jochen-Süßebier-Weg,2016-04-20,2016-04-25,2016-04-27,68014.05,93717.66,Team 2
